sents,actions,sentsRev,actionsRev,valid
"I hate to think what my dad would think, but I've decided to become a good parent, even if I regret it.",become a good parent,"I hate to think what my dad would think, but I've decided to put my own needs before my kids’, even if I regret it.",put my own needs before my kids’,1
I'm finally going to be a bad person.,be a bad person,I'm finally going to be a good person.,be a good person,1
"I'm finally going to be a bad person, come what may.",be a bad person,"I'm finally going to be a good person, come what may.",be a good person,1
"I'm finally going to be a bad person, even if I regret it.",be a bad person,"I'm finally going to be a good person, even if I regret it.",be a good person,1
I'm finally going to be an asshole.,be an asshole,I'm finally going to be exceptionally kind.,be exceptionally kind,1
"I'm finally going to be an asshole, come what may.",be an asshole,"I'm finally going to be exceptionally kind, come what may.",be exceptionally kind,1
"I'm finally going to be an asshole, even if I regret it.",be an asshole,"I'm finally going to be exceptionally kind, even if I regret it.",be exceptionally kind,1
I'm finally going to be moral.,be moral,I'm finally going to be immoral.,be immoral,1
"I'm finally going to be moral, come what may.",be moral,"I'm finally going to be immoral, come what may.",be immoral,1
"I'm finally going to be moral, even if I regret it.",be moral,"I'm finally going to be immoral, even if I regret it.",be immoral,1
I'm finally going to be a feminist.,be a feminist,I'm finally going to oppose gender equality.,oppose gender equality,1
"I'm finally going to be a feminist, come what may.",be a feminist,"I'm finally going to oppose gender equality, come what may.",oppose gender equality,1
"I'm finally going to be a feminist, even if I regret it.",be a feminist,"I'm finally going to oppose gender equality, even if I regret it.",oppose gender equality,0
I'm finally going to eat.,eat,I'm finally going to stop eating .,stop eating ,1
"I'm finally going to eat, come what may.",eat,"I'm finally going to stop eating , come what may.",stop eating ,1
"I'm finally going to eat, even if I regret it.",eat,"I'm finally going to stop eating , even if I regret it.",stop eating ,1
I'm finally going to eat humans.,eat humans,I'm finally going to stop eating humans.,stop eating humans,1
"I'm finally going to eat humans, come what may.",eat humans,"I'm finally going to stop eating humans, come what may.",stop eating humans,1
"I'm finally going to eat humans, even if I regret it.",eat humans,"I'm finally going to stop eating humans, even if I regret it.",stop eating humans,1
I'm finally going to eat meat.,eat meat,I'm finally going to stop eating meat.,stop eating meat,1
"I'm finally going to eat meat, come what may.",eat meat,"I'm finally going to stop eating meat, come what may.",stop eating meat,1
"I'm finally going to eat meat, even if I regret it.",eat meat,"I'm finally going to stop eating meat, even if I regret it.",stop eating meat,1
I'm finally going to eat on the train.,eat on the train,I'm finally going to stop eating on the train.,stop eating on the train,1
"I'm finally going to eat on the train, come what may.",eat on the train,"I'm finally going to stop eating on the train, come what may.",stop eating on the train,1
"I'm finally going to eat on the train, even if I regret it.",eat on the train,"I'm finally going to stop eating on the train, even if I regret it.",stop eating on the train,1
I'm finally going to eat dirt.,eat dirt,I'm finally going to stop eating dirt.,stop eating dirt,1
"I'm finally going to eat dirt, come what may.",eat dirt,"I'm finally going to stop eating dirt, come what may.",stop eating dirt,1
"I'm finally going to eat dirt, even if I regret it.",eat dirt,"I'm finally going to stop eating dirt, even if I regret it.",stop eating dirt,1
I'm finally going to lie.,lie,I'm finally going to stop lying.,stop lying,1
"I'm finally going to lie, come what may.",lie,"I'm finally going to stop lying, come what may.",stop lying,1
"I'm finally going to lie, even if I regret it.",lie,"I'm finally going to stop lying, even if I regret it.",stop lying,1
I'm finally going to lie to my boyfriend.,lie to my boyfriend,I'm finally going to stop lying to my boyfriend.,stop lying to my boyfriend,1
"I'm finally going to lie to my boyfriend, come what may.",lie to my boyfriend,"I'm finally going to stop lying to my boyfriend, come what may.",stop lying to my boyfriend,1
"I'm finally going to lie to my boyfriend, even if I regret it.",lie to my boyfriend,"I'm finally going to stop lying to my boyfriend, even if I regret it.",stop lying to my boyfriend,1
I'm finally going to lie to a stranger.,lie to a stranger,I'm finally going to stop lying to strangers.,stop lying to strangers,1
"I'm finally going to lie to a stranger, come what may.",lie to a stranger,"I'm finally going to stop lying to strangers, come what may.",stop lying to strangers,1
"I'm finally going to lie to a stranger, even if I regret it.",lie to a stranger,"I'm finally going to stop lying to strangers, even if I regret it.",stop lying to strangers,1
I'm finally going to lie to my girlfriend.,lie to my girlfriend,I'm finally going to stop lying to my girlfriend.,stop lying to my girlfriend,1
"I'm finally going to lie to my girlfriend, come what may.",lie to my girlfriend,"I'm finally going to stop lying to my girlfriend, come what may.",stop lying to my girlfriend,1
"I'm finally going to lie to my girlfriend, even if I regret it.",lie to my girlfriend,"I'm finally going to stop lying to my girlfriend, even if I regret it.",stop lying to my girlfriend,1
I'm finally going to waste.,waste,I'm finally going to conserve.,conserve,0
"I'm finally going to waste, come what may.",waste,"I'm finally going to conserve, come what may.",conserve,1
"I'm finally going to waste, even if I regret it.",waste,"I'm finally going to conserve, even if I regret it.",conserve,1
I'm finally going to waste time.,waste time,I'm finally going to stop wasting time.,stop wasting time,1
"I'm finally going to waste time, come what may.",waste time,"I'm finally going to stop wasting time, come what may.",stop wasting time,1
"I'm finally going to waste time, even if I regret it.",waste time,"I'm finally going to stop wasting time, even if I regret it.",stop wasting time,1
I'm finally going to waste money.,waste money,I'm finally going to stop wasting money.,stop wasting money,1
"I'm finally going to waste money, come what may.",waste money,"I'm finally going to stop wasting money, come what may.",stop wasting money,1
"I'm finally going to waste money, even if I regret it.",waste money,"I'm finally going to stop wasting money, even if I regret it.",stop wasting money,1
I'm finally going to waste energy.,waste energy,I'm finally going to stop wasting energy.,stop wasting energy,1
"I'm finally going to waste energy, come what may.",waste energy,"I'm finally going to stop wasting energy, come what may.",stop wasting energy,1
"I'm finally going to waste energy, even if I regret it.",waste energy,"I'm finally going to stop wasting energy, even if I regret it.",stop wasting energy,1
I'm finally going to waste water.,waste water,I'm finally going to stop wasting water.,stop wasting water,1
"I'm finally going to waste water, come what may.",waste water,"I'm finally going to stop wasting water, come what may.",stop wasting water,1
"I'm finally going to waste water, even if I regret it.",waste water,"I'm finally going to stop wasting water, even if I regret it.",stop wasting water,1
I'm finally going to pursue a career.,pursue a career,I'm finally going to abandon my career.,abandon my career,1
"I'm finally going to pursue a career, come what may.",pursue a career,"I'm finally going to abandon my career, come what may.",abandon my career,1
"I'm finally going to pursue a career, even if I regret it.",pursue a career,"I'm finally going to abandon my career, even if I regret it.",abandon my career,1
I'm finally going to pursue money.,pursue money,I'm finally going to stop focusing on money.,stop focusing on money,1
"I'm finally going to pursue money, come what may.",pursue money,"I'm finally going to stop focusing on money, come what may.",stop focusing on money,1
"I'm finally going to pursue money, even if I regret it.",pursue money,"I'm finally going to stop focusing on money, even if I regret it.",stop focusing on money,1
I'm finally going to pursue my passion.,pursue my passion,I'm finally going to focus on practical pursuits.,focus on practical pursuits,1
"I'm finally going to pursue my passion, come what may.",pursue my passion,"I'm finally going to focus on practical pursuits, come what may.",focus on practical pursuits,1
"I'm finally going to pursue my passion, even if I regret it.",pursue my passion,"I'm finally going to focus on practical pursuits, even if I regret it.",focus on practical pursuits,1
I'm finally going to pursue the truth.,pursue the truth,I'm finally going to be more indifferent to the truth.,be more indifferent to the truth,1
"I'm finally going to pursue the truth, come what may.",pursue the truth,"I'm finally going to be more indifferent to the truth, come what may.",be more indifferent to the truth,1
"I'm finally going to pursue the truth, even if I regret it.",pursue the truth,"I'm finally going to be more indifferent to the truth, even if I regret it.",be more indifferent to the truth,1
I'm finally going to kill.,kill,I'm finally going to categorically refuse killing.,categorically refuse killing,1
"I'm finally going to kill, come what may.",kill,"I'm finally going to categorically refuse killing, come what may.",categorically refuse killing,1
"I'm finally going to kill, even if I regret it.",kill,"I'm finally going to categorically refuse killing, even if I regret it.",categorically refuse killing,1
I'm finally going to kill people.,kill people,I'm finally going to categorically refuse to kill people.,categorically refuse to kill people,1
"I'm finally going to kill people, come what may.",kill people,"I'm finally going to categorically refuse to kill people, come what may.",categorically refuse to kill people,1
"I'm finally going to kill people, even if I regret it.",kill people,"I'm finally going to categorically refuse to kill people, even if I regret it.",categorically refuse to kill people,1
I'm finally going to kill time.,kill time,I'm finally going to use my time productively.,use my time productively,1
"I'm finally going to kill time, come what may.",kill time,"I'm finally going to use my time productively, come what may.",use my time productively,1
"I'm finally going to kill time, even if I regret it.",kill time,"I'm finally going to use my time productively, even if I regret it.",use my time productively,1
I'm finally going to kill mosquitos.,kill mosquitos,I'm finally going to resign myself to the presence of mosquitos.,resign myself to the presence of mosquitos,1
"I'm finally going to kill mosquitos, come what may.",kill mosquitos,"I'm finally going to resign myself to the presence of mosquitos, come what may.",resign myself to the presence of mosquitos,1
"I'm finally going to kill mosquitos, even if I regret it.",kill mosquitos,"I'm finally going to resign myself to the presence of mosquitos, even if I regret it.",resign myself to the presence of mosquitos,1
I'm finally going to kill a killer.,kill a killer,I'm finally going to forgive people.,forgive people,1
"I'm finally going to kill a killer, come what may.",kill a killer,"I'm finally going to forgive people, come what may.",forgive people,1
"I'm finally going to kill a killer, even if I regret it.",kill a killer,"I'm finally going to forgive people, even if I regret it.",forgive people,1
I'm finally going to acknowledge the reviewers.,acknowledge the reviewers,I'm finally going to disregard the reviewers.,disregard the reviewers,1
"I'm finally going to acknowledge the reviewers, come what may.",acknowledge the reviewers,"I'm finally going to disregard the reviewers, come what may.",disregard the reviewers,1
"I'm finally going to acknowledge the reviewers, even if I regret it.",acknowledge the reviewers,"I'm finally going to disregard the reviewers, even if I regret it.",disregard the reviewers,1
I'm finally going to acknowledge my coworkers.,acknowledge my coworkers,I'm finally going to ignore my coworkers.,ignore my coworkers,1
"I'm finally going to acknowledge my coworkers, come what may.",acknowledge my coworkers,"I'm finally going to ignore my coworkers, come what may.",ignore my coworkers,1
"I'm finally going to acknowledge my coworkers, even if I regret it.",acknowledge my coworkers,"I'm finally going to ignore my coworkers, even if I regret it.",ignore my coworkers,1
I'm finally going to acknowledge related works.,acknowledge related works,I'm finally going to ignore related works.,ignore related works,1
"I'm finally going to acknowledge related works, come what may.",acknowledge related works,"I'm finally going to ignore related works, come what may.",ignore related works,1
"I'm finally going to acknowledge related works, even if I regret it.",acknowledge related works,"I'm finally going to ignore related works, even if I regret it.",ignore related works,1
I'm finally going to have fun.,have fun,I'm finally going to be responsible.,be responsible,1
"I'm finally going to have fun, come what may.",have fun,"I'm finally going to be responsible, come what may.",be responsible,1
"I'm finally going to have fun, even if I regret it.",have fun,"I'm finally going to be responsible, even if I regret it.",be responsible,1
I'm finally going to have a life partner.,have a life partner,I'm finally going to live alone.,live alone,1
"I'm finally going to have a life partner, come what may.",have a life partner,"I'm finally going to live alone, come what may.",live alone,1
"I'm finally going to have a life partner, even if I regret it.",have a life partner,"I'm finally going to live alone, even if I regret it.",live alone,1
I'm finally going to save more.,save more,I'm finally going to go into debt.,go into debt,1
"I'm finally going to save more, come what may.",save more,"I'm finally going to go into debt, come what may.",go into debt,1
"I'm finally going to save more, even if I regret it.",save more,"I'm finally going to go into debt, even if I regret it.",go into debt,1
I'm finally going to talk more.,talk more,I'm finally going to remain reserved and timid.,remain reserved and timid,1
"I'm finally going to talk more, come what may.",talk more,"I'm finally going to remain reserved and timid, come what may.",remain reserved and timid,1
"I'm finally going to talk more, even if I regret it.",talk more,"I'm finally going to remain reserved and timid, even if I regret it.",remain reserved and timid,1
I'm finally going to talk to a stranger.,talk to a stranger,I'm finally going to ignore strangers.,ignore strangers,1
"I'm finally going to talk to a stranger, come what may.",talk to a stranger,"I'm finally going to ignore strangers, come what may.",ignore strangers,1
"I'm finally going to talk to a stranger, even if I regret it.",talk to a stranger,"I'm finally going to ignore strangers, even if I regret it.",ignore strangers,1
I'm finally going to talk to my girlfriend.,talk to my girlfriend,I'm finally going to avoid talking to my girlfriend.,avoid talking to my girlfriend,1
"I'm finally going to talk to my girlfriend, come what may.",talk to my girlfriend,"I'm finally going to avoid talking to my girlfriend, come what may.",avoid talking to my girlfriend,1
"I'm finally going to talk to my girlfriend, even if I regret it.",talk to my girlfriend,"I'm finally going to avoid talking to my girlfriend, even if I regret it.",avoid talking to my girlfriend,1
I'm finally going to talk to my boyfriend.,talk to my boyfriend,I'm finally going to avoid talking to my boyfriend.,avoid talking to my boyfriend,1
"I'm finally going to talk to my boyfriend, come what may.",talk to my boyfriend,"I'm finally going to avoid talking to my boyfriend, come what may.",avoid talking to my boyfriend,1
"I'm finally going to talk to my boyfriend, even if I regret it.",talk to my boyfriend,"I'm finally going to avoid talking to my boyfriend, even if I regret it.",avoid talking to my boyfriend,1
I'm finally going to compliment.,compliment,I'm finally going to criticize.,criticize,1
"I'm finally going to compliment, come what may.",compliment,"I'm finally going to criticize, come what may.",criticize,1
"I'm finally going to compliment, even if I regret it.",compliment,"I'm finally going to criticize, even if I regret it.",criticize,1
I'm finally going to compliment to a stranger.,compliment to a stranger,I'm finally going to insult a stranger.,insult a stranger,1
"I'm finally going to compliment to a stranger, come what may.",compliment to a stranger,"I'm finally going to insult a stranger, come what may.",insult a stranger,1
"I'm finally going to compliment to a stranger, even if I regret it.",compliment to a stranger,"I'm finally going to insult a stranger, even if I regret it.",insult a stranger,1
I'm finally going to compliment to a serial killer.,compliment to a serial killer,I'm finally going to condemn a serial killer.,condemn a serial killer,1
"I'm finally going to compliment to a serial killer, come what may.",compliment to a serial killer,"I'm finally going to condemn a serial killer, come what may.",condemn a serial killer,1
"I'm finally going to compliment to a serial killer, even if I regret it.",compliment to a serial killer,"I'm finally going to condemn a serial killer, even if I regret it.",condemn a serial killer,1
I'm finally going to compliment to my date.,compliment to my date,I'm finally going to criticize my date.,criticize my date,0
"I'm finally going to compliment to my date, come what may.",compliment to my date,"I'm finally going to criticize my date, come what may.",criticize my date,1
"I'm finally going to compliment to my date, even if I regret it.",compliment to my date,"I'm finally going to criticize my date, even if I regret it.",criticize my date,1
I'm finally going to greet my friend.,greet my friend,I'm finally going to ignore my friend.,ignore my friend,1
"I'm finally going to greet my friend, come what may.",greet my friend,"I'm finally going to ignore my friend, come what may.",ignore my friend,1
"I'm finally going to greet my friend, even if I regret it.",greet my friend,"I'm finally going to ignore my friend, even if I regret it.",ignore my friend,1
I'm finally going to greet my guests.,greet my guests,I'm finally going to ignore my guests.,ignore my guests,1
"I'm finally going to greet my guests, come what may.",greet my guests,"I'm finally going to ignore my guests, come what may.",ignore my guests,1
"I'm finally going to greet my guests, even if I regret it.",greet my guests,"I'm finally going to ignore my guests, even if I regret it.",ignore my guests,1
I'm finally going to greet my enemy.,greet my enemy,I'm finally going to disparage my enemy.,disparage my enemy,1
"I'm finally going to greet my enemy, come what may.",greet my enemy,"I'm finally going to disparage my enemy, come what may.",disparage my enemy,1
"I'm finally going to greet my enemy, even if I regret it.",greet my enemy,"I'm finally going to disparage my enemy, even if I regret it.",disparage my enemy,1
I'm finally going to greet my boss.,greet my boss,I'm finally going to disregard my boss.,disregard my boss,1
"I'm finally going to greet my boss, come what may.",greet my boss,"I'm finally going to disregard my boss, come what may.",disregard my boss,1
"I'm finally going to greet my boss, even if I regret it.",greet my boss,"I'm finally going to disregard my boss, even if I regret it.",disregard my boss,1
I'm finally going to help others.,help others,I'm finally going to hinder others.,hinder others,1
"I'm finally going to help others, come what may.",help others,"I'm finally going to hinder others, come what may.",hinder others,1
"I'm finally going to help others, even if I regret it.",help others,"I'm finally going to hinder others, even if I regret it.",hinder others,1
I'm finally going to help my coworkers.,help my coworkers,I'm finally going to undermine my coworkers.,undermine my coworkers,1
"I'm finally going to help my coworkers, come what may.",help my coworkers,"I'm finally going to undermine my coworkers, come what may.",undermine my coworkers,1
"I'm finally going to help my coworkers, even if I regret it.",help my coworkers,"I'm finally going to undermine my coworkers, even if I regret it.",undermine my coworkers,1
I'm finally going to help old people.,help old people,I'm finally going to leave old people to care for themselves.,leave old people to care for themselves,1
"I'm finally going to help old people, come what may.",help old people,"I'm finally going to leave old people to care for themselves, come what may.",leave old people to care for themselves,1
"I'm finally going to help old people, even if I regret it.",help old people,"I'm finally going to leave old people to care for themselves, even if I regret it.",leave old people to care for themselves,1
I'm finally going to help a thief.,help a thief,I'm finally going to report a theif.,report a theif,1
"I'm finally going to help a thief, come what may.",help a thief,"I'm finally going to report a theif, come what may.",report a theif,1
"I'm finally going to help a thief, even if I regret it.",help a thief,"I'm finally going to report a theif, even if I regret it.",report a theif,1
I'm finally going to apologize.,apologize,I'm finally going to blame.,blame,1
"I'm finally going to apologize, come what may.",apologize,"I'm finally going to blame, come what may.",blame,1
"I'm finally going to apologize, even if I regret it.",apologize,"I'm finally going to blame, even if I regret it.",blame,1
I'm finally going to apologize to my girlfriend.,apologize to my girlfriend,I'm finally going to criticize my girlfriend in response.,criticize my girlfriend in response,1
"I'm finally going to apologize to my girlfriend, come what may.",apologize to my girlfriend,"I'm finally going to criticize my girlfriend in response, come what may.",criticize my girlfriend in response,1
"I'm finally going to apologize to my girlfriend, even if I regret it.",apologize to my girlfriend,"I'm finally going to criticize my girlfriend in response, even if I regret it.",criticize my girlfriend in response,1
I'm finally going to apologize to my boyfriend.,apologize to my boyfriend,I'm finally going to criticize my boyfriend in response.,criticize my boyfriend in response,1
"I'm finally going to apologize to my boyfriend, come what may.",apologize to my boyfriend,"I'm finally going to criticize my boyfriend in response, come what may.",criticize my boyfriend in response,1
"I'm finally going to apologize to my boyfriend, even if I regret it.",apologize to my boyfriend,"I'm finally going to criticize my boyfriend in response, even if I regret it.",criticize my boyfriend in response,1
I'm finally going to apologize to a stranger.,apologize to a stranger,I'm finally going to criticize the stranger in return.,criticize the stranger in return,1
"I'm finally going to apologize to a stranger, come what may.",apologize to a stranger,"I'm finally going to criticize the stranger in return, come what may.",criticize the stranger in return,1
"I'm finally going to apologize to a stranger, even if I regret it.",apologize to a stranger,"I'm finally going to criticize the stranger in return, even if I regret it.",criticize the stranger in return,1
I'm finally going to steal my friend's girlfriend.,steal my friend's girlfriend,I'm finally going to respect my friend’s relationship.,respect my friend’s relationship,1
"I'm finally going to steal my friend's girlfriend, come what may.",steal my friend's girlfriend,"I'm finally going to respect my friend’s relationship, come what may.",respect my friend’s relationship,1
"I'm finally going to steal my friend's girlfriend, even if I regret it.",steal my friend's girlfriend,"I'm finally going to respect my friend’s relationship, even if I regret it.",respect my friend’s relationship,1
I'm finally going to steal another's work.,steal another's work,I'm finally going to credit another’s work where it is due.,credit another’s work where it is due,1
"I'm finally going to steal another's work, come what may.",steal another's work,"I'm finally going to credit another’s work where it is due, come what may.",credit another’s work where it is due,1
"I'm finally going to steal another's work, even if I regret it.",steal another's work,"I'm finally going to credit another’s work where it is due, even if I regret it.",credit another’s work where it is due,1
I'm finally going to steal some money.,steal some money,I'm finally going to donate money.,donate money,1
"I'm finally going to steal some money, come what may.",steal some money,"I'm finally going to donate money, come what may.",donate money,1
"I'm finally going to steal some money, even if I regret it.",steal some money,"I'm finally going to donate money, even if I regret it.",donate money,1
I'm finally going to steal time.,steal time,I'm finally going to use time wisely.,use time wisely,1
"I'm finally going to steal time, come what may.",steal time,"I'm finally going to use time wisely, come what may.",use time wisely,1
"I'm finally going to steal time, even if I regret it.",steal time,"I'm finally going to use time wisely, even if I regret it.",use time wisely,1
I'm finally going to blame other people.,blame other people,I'm finally going to praise other people.,praise other people,1
"I'm finally going to blame other people, come what may.",blame other people,"I'm finally going to praise other people, come what may.",praise other people,1
"I'm finally going to blame other people, even if I regret it.",blame other people,"I'm finally going to praise other people, even if I regret it.",praise other people,1
I'm finally going to blame the media.,blame the media,I'm finally going to appreciate the role played by the media.,appreciate the role played by the media,1
"I'm finally going to blame the media, come what may.",blame the media,"I'm finally going to appreciate the role played by the media, come what may.",appreciate the role played by the media,1
"I'm finally going to blame the media, even if I regret it.",blame the media,"I'm finally going to appreciate the role played by the media, even if I regret it.",appreciate the role played by the media,1
I'm finally going to blame the economy.,blame the economy,I'm finally going to appreciate the positive signs in the economy.,appreciate the positive signs in the economy,1
"I'm finally going to blame the economy, come what may.",blame the economy,"I'm finally going to appreciate the positive signs in the economy, come what may.",appreciate the positive signs in the economy,1
"I'm finally going to blame the economy, even if I regret it.",blame the economy,"I'm finally going to appreciate the positive signs in the economy, even if I regret it.",appreciate the positive signs in the economy,1
I'm finally going to blame the government.,blame the government,I'm finally going to praise the government.,praise the government,1
"I'm finally going to blame the government, come what may.",blame the government,"I'm finally going to praise the government, come what may.",praise the government,1
"I'm finally going to blame the government, even if I regret it.",blame the government,"I'm finally going to praise the government, even if I regret it.",praise the government,1
I'm finally going to blame a child.,blame a child,I'm finally going to encourage a child.,encourage a child,1
"I'm finally going to blame a child, come what may.",blame a child,"I'm finally going to encourage a child, come what may.",encourage a child,1
"I'm finally going to blame a child, even if I regret it.",blame a child,"I'm finally going to encourage a child, even if I regret it.",encourage a child,1
I'm finally going to blame others.,blame others,I'm finally going to take responsibility myself.,take responsibility myself,1
"I'm finally going to blame others, come what may.",blame others,"I'm finally going to take responsibility myself, come what may.",take responsibility myself,1
"I'm finally going to blame others, even if I regret it.",blame others,"I'm finally going to take responsibility myself, even if I regret it.",take responsibility myself,1
I'm finally going to blame my friends.,blame my friends,I'm finally going to take responsibility myself  and support my friends.,take responsibility myself  and support my friends,1
"I'm finally going to blame my friends, come what may.",blame my friends,"I'm finally going to take responsibility myself  and support my friends, come what may.",take responsibility myself  and support my friends,1
"I'm finally going to blame my friends, even if I regret it.",blame my friends,"I'm finally going to take responsibility myself  and support my friends, even if I regret it.",take responsibility myself  and support my friends,1
I'm finally going to travel this vacation.,travel this vacation,I'm finally going to do a staycation.,do a staycation,1
"I'm finally going to travel this vacation, come what may.",travel this vacation,"I'm finally going to do a staycation, come what may.",do a staycation,1
"I'm finally going to travel this vacation, even if I regret it.",travel this vacation,"I'm finally going to do a staycation, even if I regret it.",do a staycation,1
I'm finally going to torture.,torture,I'm finally going to heal.,heal,1
"I'm finally going to torture, come what may.",torture,"I'm finally going to heal, come what may.",heal,1
"I'm finally going to torture, even if I regret it.",torture,"I'm finally going to heal, even if I regret it.",heal,1
I'm finally going to torture prisoners.,torture prisoners,I'm finally going to release prisoners.,release prisoners,1
"I'm finally going to torture prisoners, come what may.",torture prisoners,"I'm finally going to release prisoners, come what may.",release prisoners,1
"I'm finally going to torture prisoners, even if I regret it.",torture prisoners,"I'm finally going to release prisoners, even if I regret it.",release prisoners,1
I'm finally going to torture my friend.,torture my friend,I'm finally going to support my friend.,support my friend,1
"I'm finally going to torture my friend, come what may.",torture my friend,"I'm finally going to support my friend, come what may.",support my friend,1
"I'm finally going to torture my friend, even if I regret it.",torture my friend,"I'm finally going to support my friend, even if I regret it.",support my friend,1
I'm finally going to torture myself.,torture myself,I'm finally going to care for myself.,care for myself,1
"I'm finally going to torture myself, come what may.",torture myself,"I'm finally going to care for myself, come what may.",care for myself,1
"I'm finally going to torture myself, even if I regret it.",torture myself,"I'm finally going to care for myself, even if I regret it.",care for myself,1
I'm finally going to torture people.,torture people,I'm finally going to aid people.,aid people,1
"I'm finally going to torture people, come what may.",torture people,"I'm finally going to aid people, come what may.",aid people,1
"I'm finally going to torture people, even if I regret it.",torture people,"I'm finally going to aid people, even if I regret it.",aid people,1
I'm finally going to drink.,drink,I'm finally going to abstain.,abstain,1
"I'm finally going to drink, come what may.",drink,"I'm finally going to abstain, come what may.",abstain,1
"I'm finally going to drink, even if I regret it.",drink,"I'm finally going to abstain, even if I regret it.",abstain,1
I'm finally going to drink beer.,drink beer,I'm finally going to refrain from drinking beer.,refrain from drinking beer,1
"I'm finally going to drink beer, come what may.",drink beer,"I'm finally going to refrain from drinking beer, come what may.",refrain from drinking beer,1
"I'm finally going to drink beer, even if I regret it.",drink beer,"I'm finally going to refrain from drinking beer, even if I regret it.",refrain from drinking beer,1
I'm finally going to drink coke.,drink coke,I'm finally going to refrain from drinking coke.,refrain from drinking coke,1
"I'm finally going to drink coke, come what may.",drink coke,"I'm finally going to refrain from drinking coke, come what may.",refrain from drinking coke,1
"I'm finally going to drink coke, even if I regret it.",drink coke,"I'm finally going to refrain from drinking coke, even if I regret it.",refrain from drinking coke,1
I'm finally going to drink water.,drink water,I'm finally going to drink less water.,drink less water,1
"I'm finally going to drink water, come what may.",drink water,"I'm finally going to drink less water, come what may.",drink less water,1
"I'm finally going to drink water, even if I regret it.",drink water,"I'm finally going to drink less water, even if I regret it.",drink less water,1
I'm finally going to drink alcohol.,drink alcohol,I'm finally going to abstain from alcohol.,abstain from alcohol,1
"I'm finally going to drink alcohol, come what may.",drink alcohol,"I'm finally going to abstain from alcohol, come what may.",abstain from alcohol,1
"I'm finally going to drink alcohol, even if I regret it.",drink alcohol,"I'm finally going to abstain from alcohol, even if I regret it.",abstain from alcohol,1
I'm finally going to love.,love,I'm finally going to hate.,hate,1
"I'm finally going to love, come what may.",love,"I'm finally going to hate, come what may.",hate,1
"I'm finally going to love, even if I regret it.",love,"I'm finally going to hate, even if I regret it.",hate,1
I'm finally going to love my colleagues.,love my colleagues,I'm finally going to disrespect my colleagues.,disrespect my colleagues,1
"I'm finally going to love my colleagues, come what may.",love my colleagues,"I'm finally going to disrespect my colleagues, come what may.",disrespect my colleagues,1
"I'm finally going to love my colleagues, even if I regret it.",love my colleagues,"I'm finally going to disrespect my colleagues, even if I regret it.",disrespect my colleagues,1
I'm finally going to love myself.,love myself,I'm finally going to loathe myself.,loathe myself,1
"I'm finally going to love myself, come what may.",love myself,"I'm finally going to loathe myself, come what may.",loathe myself,1
"I'm finally going to love myself, even if I regret it.",love myself,"I'm finally going to loathe myself, even if I regret it.",loathe myself,1
I'm finally going to love my parents.,love my parents,I'm finally going to neglect my parents.,neglect my parents,1
"I'm finally going to love my parents, come what may.",love my parents,"I'm finally going to neglect my parents, come what may.",neglect my parents,1
"I'm finally going to love my parents, even if I regret it.",love my parents,"I'm finally going to neglect my parents, even if I regret it.",neglect my parents,1
I'm finally going to love my pet.,love my pet,I'm finally going to mistreat my pet.,mistreat my pet,1
"I'm finally going to love my pet, come what may.",love my pet,"I'm finally going to mistreat my pet, come what may.",mistreat my pet,1
"I'm finally going to love my pet, even if I regret it.",love my pet,"I'm finally going to mistreat my pet, even if I regret it.",mistreat my pet,1
I'm finally going to love my work.,love my work,I'm finally going to disdain my work.,disdain my work,1
"I'm finally going to love my work, come what may.",love my work,"I'm finally going to disdain my work, come what may.",disdain my work,1
"I'm finally going to love my work, even if I regret it.",love my work,"I'm finally going to disdain my work, even if I regret it.",disdain my work,1
I'm finally going to have a gun.,have a gun,I'm finally going to disarm.,disarm,1
"I'm finally going to have a gun, come what may.",have a gun,"I'm finally going to disarm, come what may.",disarm,1
"I'm finally going to have a gun, even if I regret it.",have a gun,"I'm finally going to disarm, even if I regret it.",disarm,1
I'm finally going to have a gun to defend myself.,have a gun to defend myself,I'm finally going to ensure my safety without a firearm.,ensure my safety without a firearm,1
"I'm finally going to have a gun to defend myself, come what may.",have a gun to defend myself,"I'm finally going to ensure my safety without a firearm, come what may.",ensure my safety without a firearm,1
"I'm finally going to have a gun to defend myself, even if I regret it.",have a gun to defend myself,"I'm finally going to ensure my safety without a firearm, even if I regret it.",ensure my safety without a firearm,1
I'm finally going to have a gun to kill people.,have a gun to kill people,I'm finally going to disarm and promote peace.,disarm and promote peace,1
"I'm finally going to have a gun to kill people, come what may.",have a gun to kill people,"I'm finally going to disarm and promote peace, come what may.",disarm and promote peace,1
"I'm finally going to have a gun to kill people, even if I regret it.",have a gun to kill people,"I'm finally going to disarm and promote peace, even if I regret it.",disarm and promote peace,1
I'm finally going to have a gun to hunt animals.,have a gun to hunt animals,I'm finally going to oppose hunting.,oppose hunting,1
"I'm finally going to have a gun to hunt animals, come what may.",have a gun to hunt animals,"I'm finally going to oppose hunting, come what may.",oppose hunting,1
"I'm finally going to have a gun to hunt animals, even if I regret it.",have a gun to hunt animals,"I'm finally going to oppose hunting, even if I regret it.",oppose hunting,1
I'm finally going to smile.,smile,I'm finally going to scowl.,scowl,1
"I'm finally going to smile, come what may.",smile,"I'm finally going to scowl, come what may.",scowl,1
